,tweet,class
4483,come draw paint niggah,1
4484,fuck fag,0
4485,fuck niggah gay lol,0
4486,go sleep fag,1
4487,san diego niggah,1
4488,niggah gay,1
4489,fair youre still faggot,1
4490,wish niggah,1
4491,kik u nigglet need know outs pool,1
4492,text u nigglet,1
4493,fucking muzzie edict come feds prov govts,1
4494,end ordination women faggots whose aim weaken split communion,1
4495,chippah hopes aint hangin wit dis wigger boy,1
4497,one charlotte store course faggots,1
4498,bitch ah mintue cdfuuuu,1
4499,overpriced complete trash even debatable,2
4501,bitch tits,1
4502,know pussy ass coward weaker smaller like gz,1
4503,dont send pussy ass cowards old sparky,1
4504,yeah george zimmerman pussy ass coward,1
4506,need clams half shell get deep fried clam necks,2
4507,hoe housewife,1
4508,paul mccartney faggot,0
4509,neck titties pussy,1
4510,imma shoot bitch,1
4511,yeah us crackers devil,1
4512,said something gorilla stop listening monkey music,1
4513,yeah see againthat son bitch owes money tell looking,1
4514,right hoes aint loyal,1
4515,bitch idiot troll spamblocked keep spewing ur shit,1
4516,put money pussy,1
4517,twitter bird shaped pancakes would start,2
4518,alright well calling pussy also,1
4519,fuckin muzzie cunts deported savages,0
4520,gs hos rush mean clearly likes party,1
4521,screw ragheads,0
4522,called bitch ass,1
4523,oh coming little bitch us veto itll thrill watch,1
4524,fuckin yankees ill months ill meet pussy,0
4525,nah honkey lookin dude chr,2
4526,dryer bad ass eyes fag,0
4527,yup like straight bitch,1
4528,biebs getting fucked right pussy,1
4529,look like little baby son bitch,1
4531,exactly folks cant favor get lovely old stadium,2
4532,miss nyc nashville needs pro al team closest kc tampa thats pretty bad south nl,2
4533,miss pizza passion,2
4534,oh yeah annoying damn duck calls outta banned duck horns,2
4535,getting hope cause stunk last night,2
4536,whole bunch trash needs jus go away r jus trash,1
4537,omg ppl gon na bitch,1
4538,hahaha chunky goalkeeper makes save stomach,2
4539,prefer zebra visually didnt know lesser costs,2
4540,love hbirds used feed lived wa state hv mtn sore,2
4541,someone gave nip baileys irish cream coffee use withsuggestions,2
4542,understand weak give anything jeter astros barely history yankees,2
4545,thats arabic one pussy gettin motha fucka,1
4546,lmoa high giraffe pussy,1
4547,make yellow chompers candyass,2
4548,thought beyond retarded scary,1
4549,nigga pussy got hands dawg,1
4550,hey screen shot djks wiki page updated regarding trash incident,2
4551,plz go starbucks ebola sounds like really ghetto hood name tbh,1
4552,shut bitch nigga,1
4553,back faggot,0
4554,hell man im retarded good situps run weak tho,1
4555,look like mike vick bitch,1
4556,article flawed took first chp brpd well done even ghetto gals jammy hipurnt well done,1
4557,yung nakalagay sa second page ng handout na may closed ended questions etc tapos lalagay sa yellow pad,2
4559,like men faggot,1
4560,new york niggas quick take bitch public boy lol,0
4561,shouldve caught first time nigger,1
4562,taking like bitch bra,1
4563,idgaf hoe,1
4564,nicca u read typed u aint slo long shot dont play dumb litebrite lol,1
4565,typical hitchens type atheist watching doc hollywood hates god ready mock,2
4566,hold back say theyre retarded tits fake theres,1
4567,nothing shoes ignorant twat,1
4568,damn called bitch bruh lol,1
4569,fucking coon,0
4570,im talkin bout sluts hoes general,1
4571,would spend money trash like,2
4572,fuck mother faggot,0
4573,dont hate blew like hipster hate faggots say love music based worst,0
4574,honesty think internet full retards,1
4575,went college wanted get ukulele quickly realised id bigger fag guitar kid quad,1
4576,ho without ur vote lost election taking oath pm today,2
4577,know right wasting time thinking hr till stathe day im retarded,1
4578,yeahi dont think injuns think redskins politics alcoholism washingtondc,2
4579,current favorite line shea moisture target cvs great dry curly andor colored hair,2
4580,whatever hoe,1
4581,guy would get show spike could somehow revive son bitch id watch,1
4582,retarded bruh lol,0
4583,strawberry shortcake stacked whipped cream yellow spungecake sliced strawberries freshly picked farm w kids,2
4584,played heimer suppobiggest faggot ever stupid cheese champion,1
4586,get blocked ill bitches porch drunk yelling holy shitshe righti kanye,1
4587,bitch got dope panties sssshhhhh dramatic,1
4588,u know hispanics takin jobs niggers wont yeah somethin like hispanic,1
4589,lmfao wasnt scanning anythingthe fat hoes hittin,1
4590,gon na compare sushi pussy tho aint dicks going sushi,1
4591,naw juss like making lil mad gone long tho hate boonies,2
4592,laughin screenshots bitch might code red,1
4594,hes lying faggot used inspect element change number dollars account,0
4595,yes like dick hate bitches,1
4596,aye sae en feeld kawkin dyke,1
4597,apparently many bitches seen,1
4598,cants even fool colored man wit dis bullshit,1
4599,bitch going nawl,1
4600,bitch ass voices head haha,1
4601,bitch ass jorge haha aint work nigga,1
4602,im drunk hoe bro solo dolo,1
4603,biiiiiiiitch dont stawith haha niggggg grandma come hoe ya want ill try scoop ya today ya,1
4605,fuck bitch shrimp shorty midget dwarf infant jk,1
4607,get sleep pussy,1
4608,heard letting people know relationship problems arguing thats hoes like stop,1
4609,yeah definitely wasnt guy fought lara cuts ring well huge boon canelo,2
4610,dumb haitian fake black faggots go haiti neck,0
4611,lmaoo fag,0
4612,popped molly every day last year beat bitch,1
4613,fuck punk ass racist lil dick bitch ive reported fool,1
4614,word ur decisions include anchor feather infinity sign bird,2
4615,picture yes havent updated pic added angel wing colored thanks represents,2
4616,intimidated pussies see sweet honest woman seriously could make stalking thing much easier,1
4618,cant hoe,1
4619,everything im outside come get bitch,1
4620,man damn dude come get bitch lml,1
4621,thing better bargain yankee bargain,2
4622,lmao nigga go beethoven bitch,1
4623,still bitch though,1
4625,get money stop playing old trash,2
4626,fag fuckin pirelli tire black ass nigga whit white boy shion nigga loosen lil bit bowbow,1
4627,haha yeah say im little bitch,1
4628,pick lines like havei bet get much pussy numbers negative,1
4629,hunters anthem goes al goreing go hi ho dairy al goreing go,2
4631,wen ho dwn da road,1
4632,wonder career dump thats trash like belongs thanks pointing true colors,1
4633,pimpinkendotnet sell bitch pussy til drip drop wet vet pet hey bitch,1
4634,little bitch thats,1
4635,haha much payed constantly know youre talking dumb ass wade trash,1
4636,man wilson black qb win chip talkn trash talk shine russell,2
4637,course u would pc lemmingone says word niggerthe potential reek havoc society,1
4638,ms martinez fuckin cripple kid,1
4639,sheet cant cripple,1
4640,dat bitch dude,1
4641,pussy cat,1
4643,hats us trash tho lol,2
4644,fuck faggots,0
4645,nigga know bitch,1
4646,agree fellow cracker,0
4647,george didnt twitter called limit nigga talked fighting drugs guns bitches hoes,1
4648,course bitch learned mom make guy feel like hes foot tall,1
4649,one time band camp stuck flute pussy spanish springs,1
4650,full called children children illegal border jumpers ms gang members,0
4651,band sucked worse live fags guns poses,0
4652,bitch crib cooks cheesed eggs,1
4653,finna hoop inside fucking retard thats im saying let know allergic reaction lip ass nigga,1
4654,hoes bruhhh lol,1
4655,ya bitch crib,1
4656,hes texas trash bro,1
4657,think rpgs birds aint bird brain yo,2
4658,retarded pussy games notpc,1
4659,likes dat name dem sand niggers needs know dare place da pecker order,0
4660,jesus would love muzzie torturers fucking animal savages,0
4661,shoulda came bird mans shit lit,1
4662,stay close pleases nigguh,1
4663,say got lil bitch aint getting memo,1
4664,tryanna explain sumn des young boys daysthey dont know wat true pimp pimpin des hoes moma lmfaoo,1
4665,ughand lem guess yellow cake heard story,2
4666,im fag gtfo,0
4667,hard toshes kind hoe,1
4668,bitch watch ya tone drag recycling bin bitch ass nigga gon end like limewire ol exe ass nigga,1
4669,shut fuck guys mediocre washed basura juice sit win close games raiders jets faggot,1
4670,target got high class hoes,1
4673,oh cute fancy bitch,1
4674,getting peoples faces lol yet u r teabagger twitter dash shut fuck already,1
4675,could chick boobs face score fight better bitch made,1
4676,bitch jail,1
4677,lmfao remember rednecks school shit lol,1
4678,free tickets couldnt go chemistry aint bitch,1
4679,knew farquaad faggot,1
4680,pusha ye gon na write whole bitch,1
4681,nigger fighter huh,0
4683,byee iverrishaa ghetto ass name,1
4684,jim hogg county dipoor democrat leaning county hebronville seat near ghetto,1
4685,knocked bitch soul body lol,1
4686,ur wrong stupid nigger,0
4687,god bitch bad,1
4688,thanks go clean trash ya lil nasty lol,2
4689,dead babies piled like trash dump something proud,1
4690,ha lol like selenas horny bitch lol,1
4691,know good hohos answers havent given hohos whoa,2
4692,god damn bitches smh run away,1
4693,drake bitch made likes phonte much wont track,1
4694,nah son ca go half girl bitches wanting spend fake hair,1
4695,like let em bring da heat dis bitch linkup bro,1
4696,one rawest niccas doin dis shit,1
4697,fr finna bam nicca said yu lucky jus got robbery call,1
4700,bro fist bitches shit,1
4701,song hoe,1
4702,yeah know angloamerican principles slavery hate racism,2
4703,gave trash nonbasketball soundtrack yall still problems servers,2
4704,dawg trash momma got charged littering dropped school,2
4705,aye bitch,1
4706,disaster pussy thing wreck,1
4707,faggot sent hella nudes hmmmm,1
4708,lmao soft ass nigga trying act tough little bitch sit watch sidelines pussy,0
4709,shut fuck wack fuck garbage mohawk faggot stop making music shovel snow scrub,1
4710,duhlol tweeting eating pussy back tongue made obviouslol,1
4711,yrs till next pres bitches bout odumba left herhim,1
4712,dat charlie,2
4713,tanks lot dare mr pubes love uncle tom,1
4714,boys sure come wit crazy names day never talked faggots,1
4715,says one fills empty hole inside worshiping royal u kno may raging snotty bitch,1
4716,green bananas better yellow ones,2
4717,lets forget fact everyone mother yellow fever,2
4718,asains take wu tang clan draft suppose half breed like fallinginthedraft,2
4719,ima make sick entrance song nig,1
4720,let know lol ill go kill hoes,1
4721,faggot sack,0
4722,saying would beat like bitch put foot neck shoot,1
4723,lol dude wish hadnt got would make pussy like cry enemy,1
4724,bitch boy,1
4726,reason hit know pussy wont get cool points,1
4727,lied hulike bitch bruises arm would suggest dont lol,1
4728,niggas told bitch made real niggas kind real,1
4729,ok chill love bird lol,2
4730,whooooo chelsey fuck lol juss bitch,0
4731,bruh finally roll like rednecks drug dealers,0
4732,idk lets redneck shit ask samuela,1
4733,dont hang concesmh ima kill bitch,1
4734,well hes cunt suck ass,0
4735,fucking twat statalking,1
4736,pussy boi,1
4737,aint shit pussy lol go get hit aint touched yrs lmfao,1
4738,fuzzy dice might nicest thing could put car lol,2
4739,trash smh game rigged bumgarner took roids,2
4740,replied hoe,1
4741,got ta love tanner country hoes allhaha,1
4742,thanks bitch proofread tweets vacation week,1
4743,youre faggot,0
4744,cracker jack work cdc ya think checking plane full people,2
4745,ur profile one armed nigger,0
4746,poor annoying ass cunts fans dont care know,1
4747,got ta statreatin ugly hoes like dimes get fine ass,1
4748,see bitch fake leg thats bout come lmao kinda bad doe pole,1
4749,pussy smell like boiled hot dog water lizard dick,1
4750,lester tried eat bird,2
4751,tell coon,0
4752,even blogger doesnt moxy credentials anything create brand,2
4753,nonexistent hoes,1
4754,happy birthday nicca coon shit responsible way,0
4756,lol like rgiii go like weak bitch return next year win games,1
4757,noticed guys called jiggaboo,2
4758,nigga get dick cheese force eat bitch,1
4759,knows man uncle tom mentality never die ol martin baker headass,1
4760,always amazed resilience keep going night shift really better ghetto,1
4761,tony drinking sloppily saying cunt hear bare ass,1
4762,hopefully back da ghetto,2
4763,lol find redneck oakleaf take,2
4764,tell tweet youre twat,1
4765,maam clear tweet careful may brand race traitor nerve thinking,2
4766,opinion plz election improvement bo still allowed trash america,2
4767,timber nigger,1
4768,world dont spank monkey monkey spanks us,2
4769,got hoes different area codes,1
4770,roll bitch dey like,1
4771,tims pussy,1
4772,hey nig,1
4773,get bag pink n white coloured van sweets please thanks dude,2
4774,thats thought pussy,1
4775,whats youtube channel faggot,0
4776,youre fucking relevant get followers follow trains unfollow people youre faggot,1
4778,bitch slap assholewith chair,1
4779,saw black nra skit vile youre funny fan anymore cunt,1
4780,okay im shit hoe,1
4781,yall gots take da colored vacation kentucky fried chicken da white meat,2
4782,wouldnt proud faze family hes horrible one two hes ugly trailer trash fazeisgay,0
4783,bitch stupid bey hive bee hive lil kim queen b bey queen b,1
4785,real shit light armor bitch find tho,1
4786,bitch rting hella cheese tweets right said lactose intolerant got ta c,1
4787,yes said spitted bitch,1
4789,hoe cookie crisp cop case,1
4790,got ta phone avi texting got negative bitches,1
4791,dont mom bitch ass nigga u better shut fucking mouth duck ass,1
4792,going talk shit least back fight bitch ass nigga swear u niggas fake pussy boy,1
4793,lmfao im still pulling hoes suppose effect suppose humy felling fuck boy,1
4794,oh woulda coulda shoulda ass niggas bitch ass nigga u bout oh ban wagging ass nigga catch phase,0
4795,talkinfgalot shit cant back dem words tho bitch ass nigga u talking fighting,1
4796,yeah youre gon na play retards wan na drugs day,2
4797,bitches need guidance lol,1
4798,photshopped pinhead like johngalt pistons instead faggot needles might impressed gay,1
4799,photos kate upton cheers yankees last nights game,2
4800,think hes retarded somethin,1
4801,come davis show celebrate retard,1
4802,eye witness joel faggot,0
4803,yeah hoe,1
4804,dont think anyone mocking man ive seen people mock bespectacle social media mourning cultural zeitgeist,2
4805,love much maybe one bitchier birds,1
4806,getting new pussy sharing,1
4808,seeing ppl saying running train bird parry thing das knowso looking clarity,2
4809,thought would think cuteyou know like shut clam minutes dunce,2
4810,wya bitch,1
4811,im redneck crazy,2
4812,believe evolved whatnot find hard believe came apes,2
4813,pulled pocket constitution bring man mocked mccains wackobirds comment hahaha standtall,2
4814,deep pussy tongue dial need halp,1
4816,supposed hang w week nigger,1
4817,doubt cause bitch aint nothing nigga downfall,1
4818,great thing bitches offer,1
4819,said aint tricking hoesllsfoolish,1
4820,bad bitch open mouth,1
4821,trying get job age real bitch let alone new career work years homeless,1
4822,cunt nigger fuck balls tits cocksucker piss dick kike cant take swearing dont go god damn internet,1
4823,im finna get leg dne hands catch hoe,1
4824,good one fag boy,1
4825,okay closet fag,0
4826,remember time hilfiger wus seen polountil said aint wan niggers wearing ish,1
4828,bitch u lame fuk lol,1
4829,yea ion brussel sprouts barely cordon bleu wanted try something dif get tired nigger foods,1
4830,ok reason god make parasitic worms whose sole purpose burrow eye small african child,2
4831,lol u knw dem project bitches dem light brown roaches call dem water bugs,1
4832,lmao dude said would get commitment saudi arabia jordan crow taste proof full,2
4833,sure lmao pussy,1
4834,heyhoe di doedat funny da girl,1
4835,chad reeds fag hes kinda guy,1
4836,ya fag,0
4837,bright neon yellow gauntlet,2
4838,fucking many hoes,1
4839,ahmed retard mikey special olympic boxing,0
4840,lol thats basically like got many hoes curve,1
4841,height yeah chunky bitch,1
4842,called basic bitch im sure feel,1
4843,retarded love always retarded sentimental,1
4845,follow u sexy bitch,1
4846,lebron bitch damian,1
4847,guys pussies,1
4848,bird ground still alive cant believe,2
4849,know youre calling fag,1
4850,shiddd add turn bitch lmao,1
4851,literally confront bitch asses fo reall trill,1
4852,das calld usen yo brain retard would whoop yo ass n front da police,0
4853,guarantee things youre white youve never anywhere near real ghetto relative pig,0
4854,photoshop nig,1
4855,bitchk,1
4856,guns bad bitch,1
4857,damn got called hoe,1
4858,go get sum bitch,1
4859,remember african bitch used work cmi,1
4860,right bitches like damn hope get job target bitch better still livin ya momma ass hoe,1
4861,hey hun,2
4862,billy goat hillbillies sucking fucking disgraceful brazzen faced unabashed pig,1
4863,best believe aint christian slave brainwash black spooks miss white man unlike yoself devil,0
4864,end day call yo dumb ass monkey pickananny hoe u luv white devils,0
4865,words accustomed niggers muchyour almighty one next u yo nigger,1
4866,convince u lame nigger liver believes cuz nigger whore,0
4867,dont give flying fuck teabagger piece human garbage like thinks,0
4868,teabagger scum wants threaten people penis extender danger country,0
4869,hahahah reals like bitch crazy lol,1
4870,wedlock births lie latinos place mostly driven illegal aliens w anchor babies,2
4871,crushed got exotic bitch dreams,1
4873,medal hate fags wont kill medal thank u privilege let fags live,0
4874,ignore sorry called bitch uncalled,1
4875,got ta turn hoe housewife,1
4876,besides ur imposter idol looks nothing like word god described saviour israel revelations envious bitch,1
4877,mock done simulator check pick team many rounds go,2
4878,colored lebanese,2
4879,shame selfhating kike jews gds chosen people,0
4880,call house nigger shes racist fathom hypocrisy statement,0
4881,bitch dont like cant bitch,1
4882,facts idc iont bitches im good lol,1
4883,sure slant theyre plagiarists idea,2
4884,fuckin want im tired bullshit faggot ass closet racist wannabecommunewithoutrailroad state cali,0
4885,honestly thats im retarded stuck artist hoping fair dealermanager situation,2
4886,u bitch boy,1
4887,texted u fag,1
4888,thats lil nigga middle locked wid bitch,1
4889,nigga bitch man,1
4890,made endearing names us like nigger spook monkey,1
4891,ooo logan pulling bitches,1
4892,bad little bitch,1
4893,mhmm tweet bird,2
4894,lmao lets hangout weekend hoe,1
4895,im pimping guys park playing bitch volleyball hairychestsdoee,1
4896,never happen faggot got complemented today golf several times,1
4898,hii fag,1
4899,biggest faggot world,0
4901,like call someone nigger theyre black act like nigger,0
4902,careful might try queer ya,1
4903,oh see paof giant govt take eh stockboy joke representative dumb teabagger,1
4904,bullshiti guess poor moneytax money movers rate working peopleyou teabaggers traitors,1
4905,didnt propose brilliant idea college students packing heat savant dumbass teabaggers,1
4906,hes friggin idiot say anything redneck teabagger constituants buy love stupid people,0
4907,hey turd cutterstop tweeting juvenile shit job idiot teabagger,1
4908,stockboy u talk u tweet lies childish shit obamayoure unqualified appeal dumb rednecks,1
4909,teabagger dunces want eliminate education together groom teabag voters lol thedumbestteabagger,1
4910,lazy redneck get back work governing stay twitter lying bullshit stockmantheliar,1
4911,much knob gobble one day youre head blockhead,1
4912,white conservative teabaggers make world go round please rulersstockboy,2
4913,anti american republicans teabaggers stop forcing ur religion rest us stockman u dont prayliar,2
4914,ted cruzleaderlol lol lol lol lol omg lol lol lol lol lol funny ass rednecklol lol lol lol lol,1
4915,friggin red state pussy republican parent,1
4916,golly wompers dad gum son lyin cheatin scoundrels fucking man ya chicken shit pussy republican,1
4917,stockboyeveryone mocks,2
4918,bush took times many vacations republican teabaggers pusseswah,1
4919,pay taxes teabaggers,2
4920,havent evolved human typical meathead redneck pity dont know freedom,2
4921,wise decisionthis alfie must right mong,2
4922,tf get bitch stat,1
4923,bye youre queer,0
4924,boots get bitches,1
4925,retard,1
4927,ever fav fuckin cunt,1
4928,people bitch lose hour sleep today evens get daylight,1
4929,joke right youre like ugh wish jap tweeting gook shit jerkin hentai,0
4930,looks like lesssquintyeyed hmm,2
4931,mother looks like toughasnails birdi see got nice food,2
4932,repome bitch need read twitter rules guidelines aint facebook cunt,1
4933,eat pussy,1
4934,tortillas trash though,2
4935,yes hoe always camera,1
4936,bitch look like shamu go back seaword,1
4937,eat dat chicken love box baby lovin white woman eatin chicken colored mans dream,2
4938,hoes twatchin right nie dey need uh answer,1
4939,room temp cus sensitive bitch teeth,1
4940,youtube bear vs monkey bike race,2
4941,bitch trying turn shit like facebook,1
4942,abouta get crayons animal crackers,2
4943,im highly upset dat des bitches tryanna clown media sight bitch aint going,1
4944,im going show bitches done,1
4945,theyre goooood want like savoury salty cheesy cracker,2
4946,johans free agent harveys huyou retard valverde ignorance,1
4947,yea listen hoe wake,1
4948,come see anyone named swagner obviously pussy,1
4949,thanks ya fucking hoser,1
4950,happy happy helloween helloween whoa oh whoa ho,2
4951,birds wasnt powhere birds,2
4952,u see lame pic ofmine due infatuation niggers im hebrew fite children satan streets,0
4953,bitch linda kod,1
4954,fuck miley tranny looking damn ass nigga,0
4955,say hoe sparked many blunt since left,1
4956,girl thats hos need dont care,1
4958,yellow,2
4959,ur blind bitch dude video way skinnier,1
4960,im liberal suppochanging name transcends standard political grandstanding,2
4961,send one teabagger friends watch heads explode,2
4962,one less little nigger would grow big nigger,0
4963,bitch answer calls,1
4964,bitch smd,1
4965,crackers leave parched asf,2
4966,mickey mouse ears hatand tail matter,2
4967,feel way new england patriots new york yankees unlike u ive worked boston nyc texas prison upgrade,2
4970,well since blood get g pass time wont tell wop lyric situation,2
4971,bitch bouta zooted,1
4972,im coolin know ole shit different day nig,1
4973,lmao pussy,1
4974,lets go right bitch knocked last time lets fight right,1
4975,morphing charlie weis never cease disturbing,2
4976,killed hoe though,1
4977,lmaoooo know taylor brazil eating overseas pussy,1
4978,lmaooooo bro still got shit hoe boxing come back nigga,1
4979,hoe im rolling,1
4980,got hoe,1
4981,pushed stepped back lolol pussy shit,1
4982,cunt welcome twitter,1
4983,gay gabrielle bad fuck even though bitch bad cant cheat dimefoh lol,1
4984,thats resist worthless retard need dictionary,1
4986,wannabe ghetto white girl deal unaccomplished black man sex,1
4987,know bitch dont going nomo,1
4988,truth hurts nigguh,1
4989,ive knowing fag,0
4990,decide damara make gladiola gorgeous rustcolored ones coming,2
4991,idc still get thats pussy,1
4992,lol imma look bitch ass wan na,1
4993,aint say wrong stupid hoes showing get attention dudesno one bigger game,1
4994,like imma stop talking vibing headphonestalk come get pussy words,1
4995,cuz whole team trash,2
4996,truuuu bitches dont respect im shit talkin lol,1
4998,nips pierced,1
4999,fuck em right pussy,1
5000,hes trash,1
5001,dumb nigger,1
5002,yellow paris fantastic effofrom allezwiggo vroomfroomenow last stage grabs gocav,2
5003,hoes hoes nothing something guys dispose truthbetold,1
5004,add name ghetto like looks like used label maker lol,2
5005,werent gung ho got drafted instead shitting seem like another repcon chicken hawk,1
5006,im beautiful bitch,1
5007,hoes fun,1
5008,aint shit aint shitbitch meant eachother,1
5009,nah bitch like pookie new jack city,1
5011,shit trash,1
5012,lil ricky stole mj chain tried flex bitch avi,1
5013,nope definitely retarded,1
5014,moors used give kids free lunch bronx kid glad see still good,2
5015,drinking bitch beer outta badass kuzie,1
5016,lol naw bitch sociopath,1
5017,bet valerie jarret hands humanitarian crisis didnt vote commie bitch,1
5018,got thanks hun ima text u,2
5019,dis hoe imma get lmfaoooo,1
5020,one asked bitch,1
5021,low blow cuntface many times yanks beat us playoffs last years,1
5022,bitch please gon na happen nope,1
5023,fuck bitches hope navy beat em week,1
5025,thank hate eat poison fall run face first wall yankees missed playoffs,1
5026,happened year lost one game playoff bitches bitch ass twin bitches lucky,1
5027,probably took point gibbs isnt east coast says hoes,1
5028,get bitches right,1
5030,bitch ass nigga heres new belt,1
5031,nick background nigger,1
5033,okay melo bitch,1
5034,straight pussy,1
5035,fuckin pussy haha,1
5036,didnt even catch pussy,1
5037,gobble de gook,2
5039,love hoe hahahhaa uglyass,1
5041,aahahah fuck watches trash,1
5042,thanks little bitch,1
5043,already know juss ordered weekend tha white hoes,1
5044,bitch ask day,1
5045,bitch options,1
5046,bring bitches,1
5047,lol youre retarded,1
5048,need get outta bitch meridian bad long getting paper good,1
5049,im omy movie right im literally gon na slap bitch scream shit,1
5050,dont think beat mayweather hes far trash unlike floyd actually put maidana,2
5051,father born nanticoke attended lehigh im ct yankee love pennsylvania dutch cooking,2
5052,call bitch see dont slap sexy mom justin timberlake bring back,1
5053,whoa sorry spell check error ho hey sorry,2
5055,outchea bitch,1
5056,csgo bitch,1
5057,hi yeah trolls annoying dont concern theyre twats life lol ignore x,1
5058,birds wedlock rate white fathers running away,0
5059,dont like trash talking either way fair thats twitter im ball texts,2
5060,well ado get da fock ya lil bitch,1
5061,faggot scoon wan na ball,1
5063,stfu trash,1
5064,pull trigger bitch,1
5065,youre little bitch,0
5066,liked day bird got classroom,2
5067,birds school,2
5068,rebel next youll ripping mattress tags slippery slope,2
5069,cause would tip hand instead whine like little bitches,1
5070,nope btw yous hoe lol,1
5071,oh well turns baby aint mine jig,2
5072,yesterday twitter telling dudes pussy best faith,1
5073,looked funny like obama saying good economy hipster faggot funny though,1
5074,hes pussy,1
5075,haha im thinkingofyou dirtylove sexxy bitch,1
5076,aww u mad tho successful man lmfao hut hugging faggot,0
5077,got ta shout u bad bitch u aint bad bitch,1
5078,boooooooo trash,2
5079,favor ball throw trash,2
5080,whatever lol tan line retarded lol tweet subtweet,1
5081,real quiet son made charlie shit steelers loser,1
5082,like ur domes smart,2
5083,live version pulledpork clams babyjesus lilsmokey,2
5084,pitch chip slide ur dick tight clam love mywife,1
5085,early bearded man gets clam herkfacts,2
5086,haha little shit talkier brought bitch,1
5087,bitch go shoot balls paint ole hobby finding ass,1
5088,lol autocorrect bitch voice recognition much faster typing,1
5089,fucking fat bitch considered threesome,1
5090,loved swear id love right btw bitch better googling lyrics mine,1
5091,true bitch two accounts,1
5092,also like flip bitch gabbys qualitywords,1
5093,know hoe,1
5094,hes asshole like neck problems cant sleep way u lil bitch,1
5095,bitches uggo fuck,1
5096,hoe ass savage shit brings memories cook g,1
5097,big birds big peckers always mad cause get laid thats mother,1
5098,maybe call hootie back dont answer anymore still crows,2
5099,got ta get superbowl shiat cleaners hitting big bird,2
5100,beaners drive em,1
5101,best fuss basement bitch like skating rink,1
5102,faggots kbye,0
5103,thirsty hoes lol,1
5104,im type put bitch river gtf locations lol,1
5105,people like give us bad name disgusting piece shit person nigger,0
5106,dude fucking mono sucks bed trash,1
5107,thats nate dumbass mock,1
5108,sauerkraut saul punk ass bitch,1
5109,us payback bitch hahaha happy valentines day though,1
5110,good one fucking bitch ass,1
5111,gon na ima chase club like mobb deep pussy,1
5112,explains cause bitch whine,1
5113,lmao dumb hoe budden made popular please stop irrelevant one cares slut,1
5114,pot gold ass nigguh,1
5115,catyou pussy black bored kid kills cop starting firewhere outrage phony,1
5116,word bird,2
5117,think reconsider hes little bitch one true god almighty cthulhuplease soul seany,1
5118,quit pussy call first last name plus ssn ya poon,1
5119,subtweeting using hashtag oomf whats difference p jk jerkin yo dick ya nigger faggot,1
5120,would help others cant handle uppers cripples plus moderation isnt taken consideration itll bad,2
5121,hoes clean,2
5122,celebrity poor bitches,1
5123,gator bait,2
5124,ha aint welcome washington state nashville serpas straight trash,2
5125,problem love bad bitches,1
5126,youre vegetarian pussy,1
5128,bitch yo muthafukin ass reacting vain females tweet dont context dumb ass dont neither,1
5129,say shit face bruh bitch gettin man u dont know business handle yo shit,0
5130,stop covering yo goddamn face like kkk yo yung silly ass co signing pussy,1
5131,shit euros would call typical american fat fuck goes eat fast food time dumb bitch,1
5133,fuck pussy,1
5134,id rather ask nappy headed hoe grandma well id ashamed family,1
5135,nappy headed hoes cant call anyone ugly stop embarrassing pls,1
5136,fucking annoying hoe like omg relationship goals like close legs get dressed something,1
5138,pussy without guns bitch spic daddy doesnt even respect sperm drop moms stank pussy,0
5139,yankees like florida state floridians,2
5140,yass bitch yass,1
5141,momma saw girls danced like like shake ass hoe,1
5142,oh u dog dont show hoe love u ya ol lady,1
5143,yal bitches need stock jello fix yal broke ass personalities,1
5144,rip plate brownies large tea fries beans potato salad poboy,2
5145,hipster friends ugly fuck yo pussies stank,1
5148,straight bench ned,2
5149,coming rescue retard licking dirty skidmarks internet guys fucktards,0
5150,rather ultra fag get act go fgcu zing,1
5151,little punk send ass iraq weeks little bitch would come home kiss ground,1
5152,taylor wack ass bitch nigga,1
5153,vegeta little bitch teamgoku,1
5155,yankees games radio good announcers,2
5156,yankees fans look back gary sheffields time team,2
5157,mets fan tried telling rivera isnt best yankees time closer wtf,2
5158,glads dis colored man cans soyvice fo da white man,1
5159,im yellow im sorry,2
5160,yay im whitey,2
5161,nfl forgetabout got february pennant race lets go yanks,2
5162,hes drinking much shitty canadian hoser beer eh,1
5163,would expect nothing less dominion oh way sec bitches,1
5164,wilde nog even checken op twitter hoe het ging maar zon heftige wond niet verwacht heftig sterkte beterschap hoor,1
5165,ill scream france tom iu iubb hoosiers creanandcrimson,2
5167,bcs titles mil revenue great redneck conference ohio,2
5168,come queer,1
5169,hey fag gag clappmeat,1
5170,tounge punching smelly turtle pussy,1
5172,fuck look like shopping trash ass store,1
5173,pussy pussy pussy marijauna wannnnaaa,1
5174,lol feel like punk bitch sittin lights,1
5175,republican teabaggers jailed treason,2
5176,faggot public spectacle gays fags public display gets public opinion,1
5177,bitches aint shit hoes tricks thuglife,1
5179,yeah internet def taught bitch cant twerk talkin bout voting,1
5180,thats actually nonenglish okiecops filthy white trash criminals,0
5181,didnt make games last season looked astros open yankees april,2
5182,thought would like cause chi yeah faggot,0
5183,fag got pressed ground hang cleats n never put back think,2
5184,unfollowed think youre shit use follow trains gain unfollow cause youre pussy,1
5185,bitch brain damage,1
5187,bitch ill fuck,1
